code,name,population
38113,창원시마산합포구,177579
38114,창원시마산회원구,192446
38115,창원시진해구,190885
38310,의령군,26040
38320,함안군,66611
38330,창녕군,62370
38340,고성군,50887
38350,남해군,42169
38360,하동군,42583
38370,산청군,33579
38380,함양군,37384
38390,거창군,59888
38400,합천군,42449
39,제주특별자치도,665048
39004,읍부,151015
39005,면부,35474
39003,동부,478559
39010,제주시,487688
39020,서귀포시,177360
